,gross_return,net_return,turnover,transaction_cost,SPY
2011-04-30,1.0344584136246944,1.034219777261058,1.2386363636363635,1.0002386363636362,1.0289613604628043
2011-05-31,1.0294090669232396,1.0290658229022733,1.365315082644628,1.0003409334969005,1.0174220362231385
2011-06-30,1.0121515855062677,1.0117088504158063,1.5049495797332832,1.0004432410923716,1.00025845318279
2011-07-31,0.9852400820363985,0.9846941516541562,1.675966577430247,1.0005569278243138,0.9802482154111043
2011-08-31,0.9246796676195221,0.9240553972443805,1.8664173248655023,1.0006706274752029,0.9263589668313423
2011-09-30,0.8347573969073246,0.8341098298815106,2.036091627126002,1.0007615975322461,0.8620505575166926
2011-10-31,0.9545365698340909,0.9537107768573366,2.2443282708093433,1.0008639481501755,0.9561405473051332
2011-11-30,0.9592050413174644,0.9582451580620611,2.550373035010617,1.0010004295976505,0.952254987169084
2011-12-31,0.968736038412609,0.9676468367763801,2.869169664386944,1.00112555465135,0.9622044236610107
2012-01-31,1.039054977644009,1.0377767528031716,3.195211671703642,1.001239318918924,1.0068268037893986
2012-02-29,1.0990486402043702,1.0976140619253256,3.44937623649825,1.001318962955656,1.0505281589273632
2012-03-31,1.144593730745761,1.1429749740000765,3.8413508088275963,1.0014327492014463,1.0843173739179475
2012-04-30,1.1589946318776632,1.1572386133002526,4.234216232457691,1.0015351684598872,1.0770790371701513
2012-05-31,1.1023155652729326,1.1005402189012699,4.619144980862935,1.0016262171115655,1.0123937700126158
2012-06-30,1.1333420953366213,1.1313917174596226,5.144047819597359,1.0017400382726007,1.0534777905136226
2012-07-31,1.1429713471298673,1.1408629742283563,5.7870537970470295,1.0018652557773848,1.0659403865114552
2012-08-31,1.18839794394655,1.1860631673668505,6.510435521677908,1.001990488934357,1.0926444194221092
2012-09-30,1.2159213483482856,1.2134111962159353,7.176275518213149,1.0020929652343615,1.120344070012279
2012-10-31,1.2140787739146386,1.2114207491996365,8.073309957989792,1.0022182268550157,1.0999560756906102
2012-11-30,1.2405761139741474,1.237694883976167,9.174215861352035,1.0023548929768595,1.1061815695395218
2012-12-31,1.2635917526980012,1.2605304865966838,10.112487938081221,1.0024574065454592,1.1160644268139754
2013-01-31,1.356250022783675,1.3528067099405596,11.376548930341373,1.0025827137212773,1.1731960608170078
2013-02-28,1.3848581269652065,1.3811884544548776,12.669338581516529,1.0026966435751092,1.1881648513407408
2013-03-31,1.4578776531714832,1.453810450339093,14.54094541742238,1.0028447692156375,1.2332802472043667
2013-04-30,1.4859154750281185,1.4815718050977105,16.52380161070725,1.0029815207750759,1.2569747347222615
2013-05-31,1.5316632789155054,1.5269501731120696,19.152588230592496,1.0031410860170173,1.286651840495968
2013-06-30,1.5052288084780956,1.5003888241322616,21.76430480749147,1.0032778779832923,1.2694820413981949
2013-07-31,1.5896697742307992,1.5843536759090524,24.73216455396758,1.0034146886030173,1.3350849633945379
2013-08-31,1.5735154320767413,1.5680193040928658,28.385779772167332,1.0035629203183791,1.2950423197427614
2013-09-30,1.6767514864805664,1.670698763136202,31.934002243688248,1.0036883656834188,1.3360259097256224
2013-10-31,1.7565036264984812,1.7499921476341704,35.19997974588364,1.003791015629909,1.3978935054557153
2013-11-30,1.8241829997850147,1.8173211974912666,37.199978595081575,1.0038480492103425,1.4393230039434537
2013-12-31,1.8827069681571296,1.875501115267452,39.736340772018956,1.003916493395516,1.476639868968507
2014-01-31,1.8817623525438985,1.8743683024520432,43.800284714611806,1.0040191666732494,1.424590648278622
2014-02-28,1.9886970929156347,1.9806911650444163,48.27985928769711,1.0041218504516591,1.4894322155788646
2014-03-31,1.9647260613805042,1.956681586927467,51.57166787549463,1.0041903133050991,1.5017874909708038
2014-04-30,1.9357486148646876,1.9276671420183096,55.673959638318074,1.0042701920800212,1.5122273219689342
2014-05-31,2.0079684259545205,1.9994102032869876,60.73522869634699,1.0043614893702104,1.547320785634768
2014-06-30,2.091268527583806,2.0822189456228584,64.87626701655246,1.0044299685626674,1.579264880061923
2014-07-31,2.0387178811127216,2.02963542509217,72.98580039362152,1.0045555223087377,1.558043409799579
2014-08-31,2.142184157275032,2.1323409281193144,83.76779363358833,1.0047039225563514,1.6195296541512987
2014-09-30,2.105907458356284,2.0959643762033022,94.23876783778687,1.004829510546671,1.597186447646756
2014-10-31,2.1882162273973425,2.1776463450544696,104.94771872844446,1.0049436957183238,1.6348012340746314
2014-11-30,2.267453290093152,2.2562532040305845,116.87359585667677,1.0050578938655643,1.6797126234271242
2014-12-31,2.2683733068869665,2.257014840955499,124.842250119632,1.005126420540146,1.6754523024314167
2015-01-31,2.233125143928307,2.221635401997966,141.86619331776362,1.005263483233856,1.6258090704260604
2015-02-28,2.3848412806314467,2.37234372519691,156.37523581617126,1.005366294271914,1.717187061763273
2015-03-31,2.4087401562773967,2.395874734779543,172.36815766100696,1.005469115824737,1.6902182098278884
2015-04-30,2.348371827724141,2.3355021318072318,195.87290643296242,1.0056062252496223,1.7068388988890877
2015-05-31,2.4324710826872624,2.4188485629442527,220.35701973708274,1.0057319260277784,1.7287824803042744
2015-06-30,2.4171485061095628,2.4033644148500217,242.8935331192844,1.0058347849747584,1.6936672978835845
2015-07-31,2.4882293573087066,2.4736848761467813,278.7755323300878,1.005983374204357,1.73192600794682
2015-08-31,2.3830963503024614,2.3688290838822437,316.79037764782703,1.0061205537553848,1.6263653701194143
2015-09-30,2.329407307717277,2.31516536649273,356.3891748538054,1.0062463188246042,1.5848665214006523
2015-10-31,2.475455579994358,2.4600049987167565,404.9876986975061,1.0063835342317167,1.7196751323627073
2015-11-30,2.499886404367845,2.484031746430148,446.40689515520563,1.0064864598204448,1.7259608395871515
2015-12-31,2.4503751987733793,2.434608727327293,486.9893401693152,1.0065779585895194,1.6961315527449348
2016-01-31,2.308339015547449,2.293265120741861,531.2610983665256,1.006669465676664,1.611687086664949
2016-02-29,2.3360209439331014,2.320531742367954,585.5946197903748,1.0067724205083808,1.6103556521
2016-03-31,2.509986877441894,2.493185960692607,625.5215256851731,1.0068410640825063,1.71867756748448
2016-04-30,2.5034579472748852,2.4864174161645276,696.6035172403062,1.0069554778397882,1.7254514224473843
2016-05-31,2.582003586377866,2.5641458635798227,775.7630078357955,1.0070699045986335,1.7548042447434087
2016-06-30,2.6179943880877516,2.599683778588606,837.471428913643,1.007150012431954,1.7609036200296377
2016-07-31,2.727279665884162,2.7079388235099393,923.1219159616292,1.007253016410498,1.825126727062283
