,strategy_return,explained_return,alpha_return
2011-03-31,0.0335951980277703,-0.0031821645326900647,0.03677736256046037
2011-04-30,0.034219777261058,-0.013764670340260826,0.04798444760131883
2011-05-31,-0.0049834227425374,-0.0008663796742536525,-0.0041170430682837475
2011-06-30,-0.0168667271812753,0.0009484758790892429,-0.01781520306036454
2011-07-31,-0.0267020484703155,-0.0004943926641252944,-0.026207655806190208
2011-08-31,-0.0615813085798374,-0.0209878290586599,-0.040593479521177506
2011-09-30,-0.09733785185509,0.012904897241633243,-0.11024274909672324
2011-10-31,0.1433875284659047,0.0010204358832546527,0.14236709258265004
2011-11-30,0.0047544615356725,0.0045423427283662055,0.00021211880730629459
2011-12-31,0.0098113500863733,-0.012627087620546323,0.022438437706919626
2012-01-31,0.0724747018865088,0.0054884972667235896,0.06698620461978522
2012-02-29,0.0576591342603557,0.00456036949272615,0.05309876476762955
2012-03-31,0.0413268321245659,0.005393606611325786,0.035933225513240116
2012-04-30,0.0124793977336681,0.004816948956462475,0.007662448777205625
2012-05-31,-0.0489945580343956,-0.010911579708287551,-0.03808297832610805
2012-06-30,0.0280330496137194,0.004701649116195552,0.023331400497523847
2012-07-31,0.0083713329544253,-0.012532181454041514,0.020903514408466814
2012-08-31,0.0396193006167688,0.0005187791602920457,0.03910052145647675
2012-09-30,0.0230578181681501,0.0011753427384754763,0.02188247542967462
2012-10-31,-0.0016403730429603,-0.0007463626368815254,-0.0008940104060787745
2012-11-30,0.02168869469496,0.012871126937861395,0.008817567757098606
2012-12-31,0.0184501066588852,-0.004744707741853298,0.0231948144007385
2013-01-31,0.0732042773459713,0.003990126905124317,0.06921415044084699
2013-02-28,0.0209798963190869,-0.0007941584549519939,0.021774054774038893
2013-03-31,0.0525793534184136,0.0011189106999013824,0.05146044271851222
2013-04-30,0.0190955806873877,3.5396151698778144e-05,0.01906018453568892
2013-05-31,0.0306285310359064,-0.004718872769632344,0.035347403805538746
2013-06-30,-0.0173950332155721,0.007004007325519883,-0.02439904054109198
2013-07-31,0.0559620615845039,-0.0009650417743713028,0.0569271033588752
2013-08-31,-0.010309801444311,0.0010276771386418665,-0.011337478582952866
2013-09-30,0.0654835426932058,-0.0013738602251145461,0.06685740291832035
2013-10-31,0.0474612097929135,0.004378070928625365,0.043083138864288134
2013-11-30,0.0384739154104885,0.001833790576651229,0.03664012483383727
2013-12-31,0.0320141083791351,0.016635940814017793,0.015378167565117305
2014-01-31,-0.0006040054075079,0.007669858571277477,-0.008273863978785377
2014-02-28,0.0567246375503053,0.0010204155668143223,0.05570422198349098
2014-03-31,-0.0121218181514992,-0.010673289697719605,-0.0014485284537795948
2014-04-30,-0.0148283936962468,0.00045718228845425136,-0.015285575984701052
2014-05-31,0.0372175567580415,0.007459907104526872,0.029757649653514632
2014-06-30,0.04141658485074,-0.0018859161742664232,0.04330250102500642
2014-07-31,-0.0252535981584582,0.0012698720964245097,-0.02652347025488271
2014-08-31,0.0506029318159345,-0.01380625003357406,0.06440918184950856
2014-09-30,-0.0170594445927066,-0.007089995772906125,-0.009969448819800473
2014-10-31,0.0389710673418641,-0.006202988600733679,0.045174055942597775
2014-11-30,0.0360971647919941,-0.00013103049025236374,0.03622819528224647
2014-12-31,0.0003375671327819,0.011688700201895375,-0.011351133069113475
2015-01-31,-0.0156753240233702,-0.006655512799871779,-0.00901981122349842
2015-02-28,0.0678366590050774,0.011424047308031603,0.0564126116970458
2015-03-31,0.0099188871042202,-0.016923475516146896,0.026842362620367096
2015-04-30,-0.0251985640550889,0.021289378445651055,-0.046487942500739954
2015-05-31,0.0356867287774755,-0.0018130445237646902,0.03749977330124019
2015-06-30,-0.0064014541180632,0.006406217746681601,-0.0128076718647448
2015-07-31,0.0292591755383661,-0.004367362525738558,0.03362653806410466
2015-08-31,-0.0423885003605915,0.0056792973834692605,-0.04806779774406076
2015-09-30,-0.0226541111617749,-0.006740537859847371,-0.01591357330192753
2015-10-31,0.0625612469503403,0.014888337681840594,0.0476729092684997
2015-11-30,0.0097669507687686,0.023615071197386518,-0.013848120428617917
2015-12-31,-0.019896291250658,-0.003065202584693593,-0.01683108866596441
2016-01-31,-0.0580559845197789,-0.02593124099753159,-0.03212474352224731
2016-02-29,0.0118898688945624,0.003819767596162189,0.00807010129840021
2016-03-31,0.0744028686065161,-0.004723598125690373,0.07912646673220647
2016-04-30,-0.0027148173601134,0.004396420513319145,-0.0071112378734325445
2016-05-31,0.0312612222348397,0.016534158530013318,0.014727063704826383
2016-06-30,0.0138595528099828,-0.008991677197699225,0.022851230007682025
2016-07-31,0.0416416203435734,-0.014004603170904578,0.05564622351447798
2016-08-31,0.0070121708988593,-0.003155169633732887,0.010167340532592188
2016-09-30,-0.0046897380196554,-0.0015430912692809015,-0.003146646750374499
2016-10-31,-0.0298198766074206,-0.03478218365064567,0.004962307043225072
2016-11-30,0.0631628812231737,0.007207733486177803,0.055955147736995905
2016-12-31,0.0196375906032653,-0.00298343366825239,0.022621024271517687
2017-01-31,0.0357095501763367,0.0020570190347063313,0.033652531141630374
2017-02-28,0.0386039072835261,-0.008939158736493254,0.047543066020019356
2017-03-31,0.020833252733507,0.0004159613254985492,0.020417291408008454
2017-04-30,0.0079055151201977,-0.0036930986812541366,0.011598613801451838
2017-05-31,0.0179720442436727,0.002661121683418837,0.015310922560253862
2017-06-30,0.0123938231853586,0.0023524777556701813,0.010041345429688419
2017-07-31,0.0301775249045947,0.013542205258221838,0.01663531964637286
2017-08-31,0.0026481839289526,-0.0023029173661655144,0.004951101295118114
