,CAGR,Volatility,Sharpe,Max Drawdown,Total Return
Strategy,0.2228094529622624,0.16808305301602275,1.2898191471725404,-0.2333503207110651,12.216134147301903
Benchmark,0.1656684153859822,0.15590423110973245,1.0669639510372744,-0.23673333183880785,6.151210143343768
