date,gross_return,net_return,turnover,transaction_cost
2011-03-31,0.03409519802777039,0.03359519802777039,0.5,0.0005
2011-04-30,0.03445841362469438,0.034219777261058015,0.23863636363636365,0.00023863636363636364
2011-05-31,-0.004881150015264681,-0.004983422742537408,0.10227272727272727,0.00010227272727272727
2011-06-30,-0.016764454454002622,-0.01686672718127535,0.10227272727272728,0.00010227272727272728
2011-07-31,-0.026588412106679157,-0.02670204847031552,0.11363636363636363,0.00011363636363636364
2011-08-31,-0.061467672216201086,-0.06158130857983745,0.11363636363636363,0.00011363636363636364
2011-09-30,-0.09724694276418099,-0.09733785185509007,0.09090909090909091,9.090909090909092e-05
2011-10-31,0.14348980119317745,0.14338752846590472,0.10227272727272727,0.00010227272727272727
2011-11-30,0.004890825172036164,0.004754461535672527,0.13636363636363638,0.0001363636363636364
2011-12-31,0.009936350086373334,0.009811350086373334,0.125,0.000125
2012-01-31,0.0725883382501452,0.07247470188650884,0.11363636363636363,0.00011363636363636364
2012-02-29,0.05773867971490123,0.05765913426035577,0.07954545454545456,7.954545454545456e-05
2012-03-31,0.04144046848820234,0.041326832124565976,0.11363636363636365,0.00011363636363636365
2012-04-30,0.01258167046094092,0.012479397733668194,0.10227272727272727,0.00010227272727272727
2012-05-31,-0.04890364894348654,-0.04899455803439563,0.09090909090909091,9.090909090909092e-05
2012-06-30,0.028146685977355784,0.02803304961371942,0.11363636363636363,0.00011363636363636364
2012-07-31,0.008496332954425357,0.008371332954425357,0.125,0.000125
2012-08-31,0.039744300616768855,0.039619300616768854,0.125,0.000125
2012-09-30,0.023160090895422845,0.023057818168150116,0.10227272727272728,0.00010227272727272728
2012-10-31,-0.0015153730429603163,-0.0016403730429603164,0.125,0.000125
2012-11-30,0.021825058331323685,0.02168869469496005,0.13636363636363635,0.00013636363636363637
2012-12-31,0.01855237938615798,0.018450106658885253,0.10227272727272727,0.00010227272727272727
2013-01-31,0.07332927734597139,0.07320427734597139,0.125,0.000125
2013-02-28,0.02109353268272334,0.020979896319086977,0.11363636363636363,0.00011363636363636364
2013-03-31,0.052727080691140904,0.05257935341841363,0.14772727272727273,0.00014772727272727274
2013-04-30,0.01923194432375143,0.019095580687387793,0.13636363636363635,0.00013636363636363637
2013-05-31,0.030787621944997352,0.03062853103590644,0.1590909090909091,0.0001590909090909091
2013-06-30,-0.017258669579208546,-0.017395033215572182,0.13636363636363635,0.00013636363636363637
2013-07-31,0.05609842522086757,0.05596206158450393,0.13636363636363635,0.00013636363636363637
2013-08-31,-0.010162074171583785,-0.010309801444311059,0.1477272727272727,0.0001477272727272727
2013-09-30,0.06560854269320582,0.06548354269320582,0.125,0.000125
2013-10-31,0.047563482520186245,0.04746120979291352,0.10227272727272727,0.00010227272727272727
2013-11-30,0.03853073359230677,0.03847391541048859,0.05681818181818182,5.6818181818181825e-05
2013-12-31,0.03208229019731693,0.03201410837913511,0.06818181818181818,6.818181818181818e-05
2014-01-31,-0.0005017326802352392,-0.0006040054075079665,0.10227272727272727,0.00010227272727272727
2014-02-28,0.056826910277578066,0.05672463755030534,0.10227272727272729,0.0001022727272727273
2014-03-31,-0.012053636333317418,-0.012121818151499236,0.06818181818181818,6.818181818181818e-05
2014-04-30,-0.014748848241701366,-0.014828393696246821,0.07954545454545454,7.954545454545455e-05
2014-05-31,0.03730846584895066,0.037217556758041566,0.09090909090909091,9.090909090909092e-05
2014-06-30,0.04148476666892188,0.04141658485074006,0.06818181818181818,6.818181818181818e-05
2014-07-31,-0.025128598158458255,-0.025253598158458256,0.125,0.000125
2014-08-31,0.05075065908866185,0.05060293181593458,0.1477272727272727,0.0001477272727272727
2014-09-30,-0.016934444592706696,-0.017059444592706696,0.125,0.000125
2014-10-31,0.03908470370550048,0.03897106734186412,0.11363636363636363,0.00011363636363636364
2014-11-30,0.03621080115563055,0.03609716479199419,0.11363636363636363,0.00011363636363636364
2014-12-31,0.00040574895096372144,0.00033756713278190325,0.06818181818181818,6.818181818181818e-05
2015-01-31,-0.01553896038700659,-0.015675324023370227,0.13636363636363635,0.00013636363636363637
2015-02-28,0.06793893173235019,0.06783665900507746,0.10227272727272727,0.00010227272727272727
2015-03-31,0.01002115983149297,0.009918887104220243,0.10227272727272727,0.00010227272727272727
2015-04-30,-0.02506220041872531,-0.025198564055088947,0.13636363636363635,0.00013636363636363637
2015-05-31,0.035811728777475564,0.035686728777475564,0.125,0.000125
2015-06-30,-0.0062991813907905285,-0.006401454118063255,0.10227272727272728,0.00010227272727272728
2015-07-31,0.02940690281109344,0.02925917553836617,0.1477272727272727,0.0001477272727272727
2015-08-31,-0.04225213672422791,-0.042388500360591545,0.13636363636363635,0.00013636363636363637
2015-09-30,-0.022529111161774938,-0.02265411116177494,0.125,0.000125
2015-10-31,0.062697610586704,0.06256124695034036,0.13636363636363635,0.00013636363636363637
2015-11-30,0.009869223496041388,0.009766950768768662,0.10227272727272727,0.00010227272727272727
2015-12-31,-0.019805382159748947,-0.019896291250658036,0.09090909090909091,9.090909090909092e-05
2016-01-31,-0.057965075428869875,-0.05805598451977897,0.09090909090909091,9.090909090909092e-05
2016-02-29,0.011992141621835154,0.011889868894562427,0.10227272727272727,0.00010227272727272727
2016-03-31,0.07447105042469795,0.07440286860651614,0.06818181818181818,6.818181818181818e-05
2016-04-30,-0.002601180996477107,-0.0027148173601134703,0.11363636363636363,0.00011363636363636364
2016-05-31,0.03137485859847613,0.031261222234839764,0.11363636363636363,0.00011363636363636364
2016-06-30,0.013939098264528329,0.013859552809982873,0.07954545454545454,7.954545454545455e-05
