ticker
WDAY
ULTA
KMI
ACGL
NI
CBOE
KDP
ITW
AAPL
AJG
CMCSA
DHR
NSC
CTAS
EMR
DRI
BRO
AVGO
CRL
ODFL
APO
RJF
IFF
FCX
UDR
MPWR
ELV
AES
BAX
GPC
DE
T
FTNT
MDT
GRMN
OMC
CINF
TT
CHTR
DAL
HAL
AEE
PHM
XEL
JBHT
IP
NOW
DOC
URI
FIS
NFLX
NEM
PFE
BLK
SCHW
CMS
PSX
ZBH
MCO
CI
AMP
MSI
GM
BA
WDC
PSA
JPM
LLY
DOV
AMD
CF
MSFT
DECK
HCA
JCI
EFX
SW
GEN
CSX
CMI
TSN
MS
NOC
TER
SBAC
DVA
HST
BR
APD
NVDA
VMC
LRCX
FDX
BX
NEE
CHRW
WM
ADI
CRM
HD
UAL
SWK
DD
J
PANW
INCY
EVRG
MPC
PGR
INTC
MKC
TDG
CAH
HOLX
L
MLM
PEG
RF
MTCH
GE
POOL
KEY
TKO
WBD
ROP
O
GOOG
VTR
WAB
ABT
SWKS
TSCO
PPL
ES
MAS
ALGN
SLB
ERIE
MAR
STZ
TXN
GOOGL
META
VTRS
KIM
MMC
HSY
STE
CVS
PCAR
ISRG
APH
YUM
PCG
DIS
ROK
SYY
BAC
CLX
LUV
TROW
MO
EIX
SO
BXP
OKE
MDLZ
FE
COST
MTB
EXPD
HII
HBAN
RVTY
EXC
LII
PWR
NDAQ
RCL
DTE
INTU
MU
XYL
GS
LIN
FICO
JKHY
SPG
CHD
CVX
AZO
AMZN
IVZ
TPL
LEN
MSCI
CCI
ETN
TRMB
EQR
NTRS
ORLY
STLD
GWW
BBY
PG
EL
WEC
CBRE
BLDR
GNRC
CME
PAYX
PODD
ADBE
D
EXPE
LYB
WSM
MCHP
UNP
LH
GL
PFG
IT
CAG
HSIC
BMY
APTV
WST
ECL
ARE
CPB
EPAM
PTC
TRV
LOW
EA
BIIB
ICE
ALL
CPAY
AON
TYL
RMD
AVY
CNP
AXON
PNR
TEL
AMAT
NUE
WMT
HIG
KO
ROST
MET
IDXX
UHS
COF
DLR
AXP
JBL
CDNS
CTRA
HUBB
BALL
PH
ORCL
NRG
CB
WELL
MOS
PM
MNST
GIS
GPN
VRSN
RTX
AMCR
GD
TAP
HRL
UPS
LDOS
IRM
EBAY
FDS
LVS
KMB
PNW
AVB
QCOM
SMCI
STX
WMB
PRU
LNT
SHW
AMGN
SRE
AWK
COP
ALB
KLAC
EQT
HON
RSG
EG
FFIV
CSCO
MOH
EW
TPR
BSX
HPQ
TTWO
ESS
GILD
AKAM
ON
LYV
F
DG
BKR
DGX
NKE
FSLR
FISV
APA
PNC
IBM
BDX
XOM
EXR
DPZ
SYK
IBKR
VZ
NXPI
MAA
AIZ
TECH
SNPS
REGN
TXT
CMG
C
DVN
ED
HUM
FRT
EME
MA
ADM
CAT
FANG
TDY
FITB
EQIX
REG
CTSH
PPG
ROL
ACN
WYNN
SNA
MMM
ADP
WAT
MRK
BKNG
NVR
STT
PLD
USB
DLTR
SBUX
MGM
TMO
RL
LHX
JNJ
AOS
PSKY
EOG
TFC
BG
VRTX
AFL
ADSK
SJM
CPT
COO
LMT
SPGI
TMUS
WRB
VRSK
NDSN
LULU
CCL
ETR
DXCM
KR
DUK
HAS
TGT
A
WFC
WY
CNC
UNH
FAST
ZBRA
PKG
ATO
OXY
MCK
MTD
COR
TRGP
CPRT
BK
V
WTW
VLO
PEP
CL
GLW
DHI
BEN
AME
KKR
NTAP
AMT
TJX
IEX
AIG
AEP
MCD
CSGP
TSLA
