,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
Multi-Factor Portfolio,0.23820809872236381,0.16857822654911675,1.2788056866738005,-0.233350320711065
SPY,0.1381387178131448,0.14607697351018276,0.8905877148096651,-0.23927159480297472
